GUID,DVN_ADDR,DVN_NAME,ROLE,DVN_FEE_WEI,DVN_FEE_WEI_CLEAN,DVN_FEE_ETH,DVN_FEE_IF_REQUIRED_ETH,DVN_FEE_IF_OPTIONAL_ETH,DVN_FEE_ETH_NUM,DVN_FEE_IF_REQUIRED_ETH_NUM,DVN_FEE_IF_OPTIONAL_ETH_NUM
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0x133e9fb2d339d8428476a714b1113b024343811e,BitGo,optional,19333914324446,19333914324446,0.000019333914324446,,0.000019333914324446,1.93339143244e-05,,1.93339143244e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,optional,19155430261060,19155430261060,0.00001915543026106,,0.00001915543026106,1.9155430261e-05,,1.9155430261e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,optional,19333914324446,19333914324446,0.000019333914324446,,0.000019333914324446,1.93339143244e-05,,1.93339143244e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0xa7b5189bca84cd304d8553977c7c614329750d99,Horizen,optional,20137092609681,20137092609681,0.000020137092609681,,0.000020137092609681,2.01370926096e-05,,2.01370926096e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0xb3ce0a5d132cd9bf965aba435e650c55edce0062,BCW Group,optional,19780124482910,19780124482910,0.00001978012448291,,0.00001978012448291,1.97801244829e-05,,1.97801244829e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,optional,19780124482910,19780124482910,0.00001978012448291,,0.00001978012448291,1.97801244829e-05,,1.97801244829e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0xcdf31d62140204c08853b547e64707110fbc6680,Stargate,optional,19333914324446,19333914324446,0.000019333914324446,,0.000019333914324446,1.93339143244e-05,,1.93339143244e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b,BWare,optional,19155430261060,19155430261060,0.00001915543026106,,0.00001915543026106,1.9155430261e-05,,1.9155430261e-05
0xb74fe300b9ae8e88ea42643a46d021ddb83c82db83d3424453819ac0f682e638,0xeede111103535e473451311e26c3e6660b0f77e1,Omni X,optional,19780124482910,19780124482910,0.00001978012448291,,0.00001978012448291,1.97801244829e-05,,1.97801244829e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0x9e059a54699a285714207b43b055483e78faac25,LayerZero Labs,required,16507618977267,16507618977267,0.000016507618977267,0.000016507618977267,,1.65076189772e-05,1.65076189772e-05,
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xcd37ca043f8479064e10635020c65ffc005d36f6,Nethermind,required,16355226302797,16355226302797,0.000016355226302797,0.000016355226302797,,1.63552263027e-05,1.63552263027e-05,
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc,Google Cloud,required,16507618977267,16507618977267,0.000016507618977267,0.000016507618977267,,1.65076189772e-05,1.65076189772e-05,
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0x133e9fb2d339d8428476a714b1113b024343811e,BitGo,optional,16507618977267,16507618977267,0.000016507618977267,,0.000016507618977267,1.65076189772e-05,,1.65076189772e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,optional,16355226302797,16355226302797,0.000016355226302797,,0.000016355226302797,1.63552263027e-05,,1.63552263027e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,optional,16507618977267,16507618977267,0.000016507618977267,,0.000016507618977267,1.65076189772e-05,,1.65076189772e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xa7b5189bca84cd304d8553977c7c614329750d99,Horizen,optional,17193386012384,17193386012384,0.000017193386012384,,0.000017193386012384,1.71933860123e-05,,1.71933860123e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xb3ce0a5d132cd9bf965aba435e650c55edce0062,BCW Group,optional,16888600663443,16888600663443,0.000016888600663443,,0.000016888600663443,1.68886006634e-05,,1.68886006634e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,optional,16888600663443,16888600663443,0.000016888600663443,,0.000016888600663443,1.68886006634e-05,,1.68886006634e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xcdf31d62140204c08853b547e64707110fbc6680,Stargate,optional,16507618977267,16507618977267,0.000016507618977267,,0.000016507618977267,1.65076189772e-05,,1.65076189772e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b,BWare,optional,16355226302797,16355226302797,0.000016355226302797,,0.000016355226302797,1.63552263027e-05,,1.63552263027e-05
0x6db3cdf1b511ee615b88edecdb57ad3046c9e5695ceec888a603f30335dc598f,0xeede111103535e473451311e26c3e6660b0f77e1,Omni X,optional,16888600663443,16888600663443,0.000016888600663443,,0.000016888600663443,1.68886006634e-05,,1.68886006634e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0x9e059a54699a285714207b43b055483e78faac25,LayerZero Labs,required,16507618977267,16507618977267,0.000016507618977267,0.000016507618977267,,1.65076189772e-05,1.65076189772e-05,
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xcd37ca043f8479064e10635020c65ffc005d36f6,Nethermind,required,16355226302797,16355226302797,0.000016355226302797,0.000016355226302797,,1.63552263027e-05,1.63552263027e-05,
